transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
57,71.4,178.3,461,93.9,2.1,30,,,,NA,高温过热>700℃,0-2-2,0.0046,2.4972,4.9095,1
58,71.1,144,461.6,93.2,2.1,30,,,,NA,高温过热>700℃,0-2-2,0.0045,2.0253,4.9528,1
59,105.5,313.9,619.9,119.2,1.3,150,,,,NA,高温过热>700℃,0-2-2,0.0021,2.9754,5.2005,1
60,42.1,80.7,91.2,21,1,80,,,,NA,高温过热>700℃,0-2-2,0.011,1.9169,4.3429,1
61,31.3,23.5,466.8,58.9,3.1,360,,,,NA,高温过热>700℃,0-0-2,0.0066,0.7508,7.9253,1
62,115.1,313.1,289.9,58.7,3.2,360,,,,NA,高温过热>700℃,0-2-2,0.011,2.7202,4.9387,1
63,15.9,147.9,257.1,4.8,1.4,370,,,,NA,高温过热>700℃,0-2-2,0.0054,9.3019,53.5625,1
64,4.9,169.9,316.6,66.8,0.4,330,,,,NA,高温过热>700℃,0-2-2,0.0013,34.6735,4.7395,1
65,26.7,320.1,562.6,163,1.2,460,,,,NA,高温过热>700℃,0-2-2,0.0021,11.9888,3.4515,1
66,14.5,734,1398.7,227.6,5.8,1860,,,,NA,高温过热>700℃,0-2-2,0.0041,50.6207,6.1454,1
67,18,41,20,13,0,,,,,NA,Normal,0-2-1,0.0,2.2778,1.5385,0
68,17,44,35,15,0.5,,,,,NA,Normal,0-2-1,0.0143,2.5882,2.3333,0
69,16,44,71,15,0.6,,,,,NA,Normal,0-2-2,0.0085,2.75,4.7333,0
70,15,43,72,15,0.6,,,,,NA,Normal,0-2-2,0.0083,2.8667,4.8,0
71,17,44,75,17,0.7,,,,,NA,Normal,0-2-2,0.0093,2.5882,4.4118,0
72,16,44,80,17,0.7,,,,,NA,Normal,0-2-2,0.0087,2.75,4.7059,0
73,20,43,81,17,1.4,,,,,NA,Normal,0-2-2,0.0173,2.15,4.7647,0
74,0,35,28,23,0,,,,,NA,Normal,,0.0,,1.2174,0
75,0,27,13,0,0,,,,,NA,Normal,,0.0,,,0
76,0,27,0,0,0,,,,,NA,Normal,,,,,0
77,28,28,0,18,0,,,,,NA,Normal,,,1.0,0.0,0
78,0,95,23,147,0,,,,,NA,异常-未明类,,0.0,,0.1565,1
79,0,43,0,19,0,,,,,NA,Normal,,,,0.0,0
80,56,126,19,66,0,,,,,NA,低温过热150~300℃,0-2-0,0.0,2.25,0.2879,1
